gc_orgID,Harmonize_name,open_gov_ouvert,ati,pop,phoenix
3702,2010 Games Operating Trust Society,,,,
3599,Aboriginal Business Canada,,,,
3518,Aboriginal Healing Foundation,,,,
2319,Accessibility Standards Canada,casdo-ocena,Canadian Accessibility Standards Development Organization,CAQ,CAQ00
2297,Administrative Tribunals Support Service of Canada,atssc-scdata,Administrative Tribunals Support Service of Canada,ATS,ATS00
3435,Aéroport de Québec Inc.,,,,
3436,Aéroports de Montréal,,,,
3399,African Development Bank,,,,
2222,Agriculture and Agri-Food Canada,aafc-aac,Agriculture and Agri-Food Canada,AGR,AGR00
3600,"Appeal Board, Hazardous Materials Information Review Act",,,,
3400,Asian Development Bank,,,,
3414,Asian Infrastructure Investment Bank,,,,
3437,Asia-Pacific Foundation of Canada,apfc-fapc,Asia Pacific Foundation of Canada,,
3664,Assisted Human Reproduction Agency of Canada,,,,
3438,Association of Canada Lands Surveyors,,,,
2244,Atlantic Canada Opportunities Agency,acoa-apeca,Atlantic Canada Opportunities Agency,ACO,ACO00
3654,Atlantic Pilotage Authority Canada,,Atlantic Pilotage Authority Canada,,
3649,Atomic Energy of Canada Limited,,Atomic Energy of Canada Limited,,
3633,Bank of Canada,,Bank of Canada,,
3552,Bank of Canada Museum,,,,
3439,Belledune Port Authority,pb,Belledune Port Authority,,
3665,Blue Water Bridge Canada,,,,
3440,Buffalo and Fort Erie Public Bridge Authority,,,,
3646,Business Development Bank of Canada,,Business Development Bank of Canada,,
3441,Calgary Airport Authority,,,,
3679,Canada Agricultural Review Tribunal,,,,
3553,Canada Agriculture and Food Museum,,,,
3554,Canada Aviation and Space Museum,,,,
2300,Canada Border Services Agency,cbsa-asfc,Canada Border Services Agency,BSF,BSF00
3601,Canada Centre for Inland Waters,,,,
3519,Canada Commonwealth Legacy Fund,,,,
3618,Canada Council for the Arts,,Canada Council for the Arts,,
3634,Canada Deposit Insurance Corporation,,Canada Deposit Insurance Corporation,,
3635,Canada Development Investment Corporation,,Canada Development Investment Corporation,,
2257,Canada Economic Development for Quebec Regions,ced-dec,Economic Development Agency of Canada for the Regions of Quebec,FRD,FRD00
2301,Canada Emission Reduction Incentives Agency,ceria-acire,,RED,
2302,Canada Employment Insurance Commission,ceic-caec,,CEI,
3666,Canada Employment Insurance Financing Board,,,,
2312,Canada Energy Regulator,cer-rec,National Energy Board,ERG,ENR00
3555,Canada Firearms Centre,,,,
3443,Canada Foundation for Innovation,innovation,Canada Foundation for Innovation,,
3444,Canada Foundation for Sustainable Development Technology,,Sustainable Development Technology Canada,,
3445,Canada Games Council,,,,
3446,Canada Health Infoway Inc.,,,,
3680,Canada Industrial Relations Board,,,,
3642,Canada Infrastructure Bank,,Canada Infrastructure Bank,,
3421,Canada Investment and Savings,,,,
3650,Canada Lands Company Limited,,Canada Lands Company Limited,,
3447,Canada Media Fund,,,,
3631,Canada Mortgage and Housing Corporation,,Canada Mortgage and Housing Corporation,,
3636,Canada Pension Plan Investment Board,,,,
3651,Canada Post,,Canada Post Corporation,,
3556,Canada Research Chairs,,,,
2303,Canada Revenue Agency,cra-arc,Canada Revenue Agency,NAR,NAR00
2304,Canada School of Public Service,csps-efpc,Canada School of Public Service,CES,CES00
3627,Canada Science and Technology Museum,,Ingenium   Canada's Museums of Science and Innovation,,
3448,Canada-Newfoundland and Labrador Offshore Petroleum Board,cnlopb,Canada-Newfoundland and Labrador Offshore Petroleum Board,CFO,
3449,Canada-Nova Scotia Offshore Petroleum Board,,Canada-Nova-Scotia Offshore Petroleum Board,CNO,
3450,Canadian Agency for Drugs and Technologies in Health (CADTH),,,,
3655,Canadian Air Transport Security Authority,,Canadian Air Transport Security Authority,,
3557,Canadian Army,,,,
3681,Canadian Artists and Producers Professional Relations Tribunal,,,,
3619,Canadian Broadcasting Corporation,,Canadian Broadcasting Corporation,,
2305,Canadian Centre for Occupational Health and Safety,ccohs-cchst,Canadian Centre for Occupational Health and Safety,OCC,OCC00
3451,Canadian Centre on Substance Use and Addictions,,,,
3533,Canadian Coast Guard,,,,
3639,Canadian Commercial Corporation,,Canadian Commercial Corporation,,
3534,Canadian Conservation Institute,,,,
3682,Canadian Cultural Property Export Review Board,,,,
3615,Canadian Dairy Commission,,Canadian Dairy Commission,,
3452,Canadian Energy Research Institute,,,,
2306,Canadian Food Inspection Agency,cfia-acia,Canadian Food Inspection Agency,ICA,ICA00
3535,Canadian Forces Housing Agency,,,,
3520,Canadian Foundation for Climate and Atmospheric Sciences,,,,
3516,Canadian Foundation for Healthcare Improvement (CFHI),,,,
2246,Canadian Grain Commission,cgc-ccg,Canadian Grain Commission,CGC,CGC00
2223,Canadian Heritage,pch,Canadian Heritage,PCH,PCH00
3536,Canadian Heritage Information Network,,,,
2247,Canadian Human Rights Commission,chrc-ccdp,Canadian Human Rights Commission,HRC,HRC00
3683,Canadian Human Rights Tribunal,,,,
3453,Canadian Institute for Health Information (CIHI),,,,
2307,Canadian Institutes of Health Research,cihr-irsc,Canadian Institutes of Health Research,CRI,CRI00
3537,Canadian Intellectual Property Office,,,,
2248,Canadian Intergovernmental Conference Secretariat,cics-scic,,CIC,CIC00
3684,Canadian International Development Agency,,,,
3521,Canadian International Grains Institute,,,,
3685,Canadian International Trade Tribunal,,,,
3558,Canadian Judicial Council,,,,
3454,Canadian Livestock Records Corporation,,,,
3620,Canadian Museum for Human Rights,,Canadian Museum for Human Rights,,
3602,Canadian Museum of Contemporary Photography,,,,
3621,Canadian Museum of History,,,,
3622,Canadian Museum of Immigration at Pier 21,,Canadian Museum of Immigration at Pier 21,,
3623,Canadian Museum of Nature,,Canadian Museum of Nature,,
2249,Canadian Northern Economic Development Agency,cannor,Canadian Northern Economic Development Agency,NED,NED00
2308,Canadian Nuclear Safety Commission,cnsc-ccsn,Canadian Nuclear Safety Commission,CSN,CSN00
3538,Canadian Pari-Mutuel Agency,,,,
3455,Canadian Partnership Against Cancer Corporation (CPAC),,,,
3456,Canadian Patient Safety Institute (CPSI),,,,
3624,Canadian Race Relations Foundation,,Canadian Race Relations Foundation,,
2396,Canadian Radio-television and Telecommunications Commission,crtc,Canadian Radio-television and Telecommunications Commission,RTC,RTC00
2250,Canadian Security Intelligence Service,csis-scrs,Canadian Security Intelligence Service,CSI,PAY00
2251,Canadian Space Agency,csa-asc,Canadian Space Agency,CSA,CSA00
3559,Canadian Special Operations Forces Command,,,,
3457,Canadian Sport Institute Ontario,,,,
3560,Canadian Trade Commissioner Service,,,,
2252,Canadian Transportation Agency,cta-otc,Canadian Transportation Agency,ATN,ATN00
3561,Canadian War Museum,,Canadian Museum of History and the Canadian War Museum,,
3522,"Canadian Wheat Board, The",,,,
3401,Caribbean Development Bank,,,,
3523,Centre national multisport-Montréal,,,,
3458,Charlottetown Airport Authority Inc.,,,,
2290,Civilian Review and Complaints Commission for the RCMP,cpc-cpp,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,RPP,
3459,Coaching Association of Canada,,,,
3420,Commissioner of Canada Election,occe-bcef,,OCE,
3417,Communication Canada,,,CIO,
3562,Communications Research Centre Canada,,,,
2253,Communications Security Establishment Canada,csec-cstc,Communication Security Establishment,CSE,CSE00
3563,Competition Bureau Canada,,,,
3564,Competition Tribunal,ct-tc,,,
3545,Consulting and Audit Canada Revolving Fund,,,,
2254,Copyright Board Canada,cb-cda,Copyright Board Canada,COP,COP00
3539,CORCAN,,,,
3667,Corporation for the Mitigation of Mackenzie Gas Project Impacts,,,,
2255,Correctional Service Canada,csc-scc,Correctional Service of Canada,PEN,PEN00
3565,Court Martial Appeal Court of Canada,,,,
2256,Courts Administration Service,cas-satj,,CAJ,CAJ00
2230,Crown-Indigenous Relations and Northern Affairs Canada,aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada,IAN,IAN00
3652,Defence Construction Canada,,Defence Construction Canada,,
3540,Defence Research and Development Canada,drdc-rddc,,,
3566,Democratic Institutions,,,,
2225,Department of Finance Canada,fin,Department of Finance Canada,FIN,FIN00
2232,Department of Justice Canada,jus,Department of Justice Canada,JUS,JUS00
3647,Destination Canada,,Destination Canada,,
3422,Director of Soldier Settlement,,,SST,
3461,Edmonton Regional Airports Authority,,,,
2271,Elections Canada,elections,Office of the Chief Electoral Officer,CEO,CEO00
2229,Employment and Social Development Canada,esdc-edsc,"Employment and Social Development Canada						",CSD,CSD00
3686,Employment Insurance Boards of Referees,,,,
3424,Energy Supplies Allocation Board,esab-orad,,ESR,
3668,Enterprise Cape Breton Corporation,,,,
2237,Environment and Climate Change Canada,ec,Environment and Climate Change Canada,DOE,DOE00
3568,Environmental Protection Review Canada,,,,
3603,Environmental Protection Tribunal of Canada,,,,
3402,European Bank for Reconstruction and Development,,,,
3640,Export Development Canada,,Export Development Canada,,
3616,Farm Credit Canada,,Farm Credit Canada,,
2265,Farm Products Council of Canada,fpcc-cpac,Farm Products Council of Canada,FPN,
3661,Federal Bridge Corporation,,Federal Bridge Corporation Limited,,
3569,Federal Court of Appeal,,,,
3570,Federal Court of Canada,,,,
2299,Federal Economic Development Agency for Northern Ontario,fednor,Federal Economic Development Agency for Northern Ontario,NOR,
2258,Federal Economic Development Agency for Southern Ontario,feddevontario,Federal Economic Development Agency for Southern Ontario,ESO,ESO00
3427,Federal Judges not part of any department,,,,
2259,Financial Consumer Agency of Canada,fcac-acfc,Financial Consumer Agency of Canada,FNA,FNA00
2260,Financial Transactions and Reports Analysis Centre of Canada,fintrac-canafe,Financial Transactions and Reports Analysis Centre of Canada,CFC,CFC00
3524,First Nations Financial Management Board,fnfmb-cgfpn,First Nations Financial Management Board,,
3669,First Nations Statistical Institute,,,,
3525,First Nations Tax Commission,fntc-cfpn,First Nations Tax Commission,,
2226,Fisheries and Oceans Canada,dfo-mpo,Fisheries and Oceans Canada,DFO,DFO00
3462,Fredericton International Airport Authority Inc.,,,,
3638,Freshwater Fish Marketing Corporation,,Freshwater Fish Marketing Corporation,,
3463,Gander International Airport Authority Inc.,,,,
3604,Geographical Names Board of Canada,,,,
3605,Geological Survey of Canada,,,,
3606,Geomatics Canada,,,,
2227,Global Affairs Canada,dfatd-maecd,Global Affairs Canada,EXT,EXT00
3670,Grain Appeal Tribunal,,,,
3656,Great Lakes Pilotage Authority Canada,,Great Lakes Pilotage Authority,,
3464,Greater London International Airport Authority,,,,
3465,Greater Moncton International Airport Authority Inc.,,,,
3466,Greater Toronto Airports Authority,,,,
3467,Halifax International Airport Authority,,,,
3468,Halifax Port Authority,halpa-aphal,Halifax Port Authority,,
3469,Hamilton Port Authority,hampa-apham,Hamilton-Oshawa Port Authority,,
3671,Hazardous Materials Information Review Commission,,,,
2228,Health Canada,hc-sc,Health Canada,SHC,NHW00
3526,Health Council of Canada,,,,
3517,Healthcare Excellence Canada (HEC),,,,
3572,Historic Sites and Monuments Board of Canada,hsmbc-clmhc,Historic Sites and Monuments Board of Canada,,
3428,House of Commons,hoc-cdc,,HOC,
2261,Immigration and Refugee Board of Canada,irb-cisr,Immigration and Refugee Board,IRB,IRB00
2224,"Immigration, Refugees and Citizenship Canada",cic,Immigration Refugees and Citizenship Canada,IMC,IMC00
2245,Impact Assessment Agency of Canada,iaac-aeic,Impact Assessment Agency of Canada,IAA,DOE01
3573,Independent Review Panel for Defence Acquisition,,,,
3541,Indian Oil and Gas Canada,,,IOG,
3607,Indian Residential Schools Resolution Canada,,,,
3672,Indian Residential Schools Truth and Reconciliation Commission,,,,
2243,Indigenous Services Canada,isc-sac,Indigenous Services Canada,DIS,DIS00
3546,Industrial Technologies Office,,,,
2269,"Housing, Infrastructure and Communities Canada",infc,Office of Infrastructure of Canada,HIC,INF00
2231,"Innovation, Science and Economic Development Canada",ic,Innovation Science and Economic Development Canada,DUS,DUS00
3470,Institut national du sport du Québec,,,,
3403,Inter-American Development Bank,,,,
3574,Intergovernmental Affairs,iga-aig,,,
3471,Internal Trade Secretariat Corporation,,,,
3404,International Bank for Reconstruction and Development,,,,
3527,International Centre for Human Rights and Democratic Development,,,,
3405,International Development Association,,,,
3641,International Development Research Centre,,International Development Research Centre,,
3406,International Finance Corporation,,,,
3472,International Fisheries Commissions Pension Society,,,,
3407,International Joint Commission (Canadian Section),,,IJC,
3408,International Lake Memphremagog Levels Board,,,,
3409,International Lake of the Woods Control Board,,,,
3410,International Monetary Fund,,,,
3673,Inuvialuit Arbitration Board,,,,
2317,Invest in Canada Hub,iic-iac,Invest in Canada,ICH,
3412,Joint Public Advisory Committee (JPAC) of the Commission for Environmental Cooperation (CEC),,,,
3575,Judicial Compensation and Benefits Commission,,,,
3473,Lake of the Woods Control Board,,,,
3531,Last Post Fund,,,,
3657,Laurentian Pilotage Authority Canada,,Laurentian Pilotage Authority Canada,,
2310,Law Commission of Canada,org231,,CLD,CLD00
3577,Leader of the Government in the House of Commons,,,,
2296,Leaders’ Debates Commission,,,LDC,LDC00
2262,Library and Archives Canada,lac-bac,Library and Archives of Canada,BAL,BAL00
3429,Library of Parliament,lp-bp,,LIB,
3415,Lower Churchill Development Corporation Limited,,,,
3578,Management Advisory Board for the RCMP,,,,
3658,Marine Atlantic Inc.,,Marine Atlantic Inc,,
3474,Maritime Forestry Complex Corporation,,,,
3542,Measurement Canada,,,,
3475,Mental Health Commission of Canada (MHCC),,,,
3674,Merchant Seamen Compensation Board Canada,,,,
3476,Milit-Air Inc.,,,,
2263,Military Grievances External Review Committee,mgerc-ceegm,Military Grievances External Review Committee,FCG,FCG00
2264,Military Police Complaints Commission of Canada,mpcc-cppm,Military Police Complaints Commission,CPM,CPM00
3477,Montréal Port Authority,mpa-apm,Montreal Port Authority,,
3411,Multilateral Investment Guarantee Agency,,,,
3478,Nanaimo Port Authority,nnpa-apn,Nanaimo Port Authority,,
3608,National Advisory Council on Aging,,,,
3625,National Arts Centre Corporation,,National Arts Centre,,
3653,National Capital Commission,,National Capital Commission,,
3609,National Council of Welfare,,,,
2233,National Defence,dnd-mdn,National Defence,DND,DND00
2266,National Film Board,nfb-onf,National Film Board of Canada,NFB,NFB00
3626,National Gallery of Canada,,National Gallery of Canada,,
2313,National Research Council Canada,nrc-cnrc,National Research Council of Canada,NRC,NRC00
3675,National Round Table on the Environment and the Economy,,,,
3579,National Security and Intelligence Review Agency,nsira-ossnr,National Security and Intelligence Review Agency,,
2291,National Security and Intelligence Review Agency Secretariat,,,NRA,NRA00
3580,National Seniors Council,,,,
2234,Natural Resources Canada,nrcan-rncan,Natural Resources Canada,RSN,RSN00
2314,Natural Sciences and Engineering Research Council of Canada,nserc-crsng,Natural Sciences and Engineering Research Council of Canada,NSE,NSE00
3479,"Nature Trust of British Columbia, The",,,,
3480,NAV CANADA,,,,
3416,North Portage Development Corporation (operating as The Forks North Portage Partnership),,,,
2268,Northern Pipeline Agency Canada,npa-apn,Northern Pipeline Agency Canada,NPA,
3581,Occupational Health and Safety Tribunal Canada,,,,
2270,Office of the Auditor General of Canada,oag-bvg,Office of the Auditor General of Canada,AUD,AUD00
3582,Office of the Chief Military Judge,,,,
3611,Office of the Chief Science Advisor of Canada,ocsa-bcsc,,,
2272,Office of the Commissioner for Federal Judicial Affairs Canada,fja-cmf,,FJA,FJA00
2273,Office of the Commissioner of Lobbying of Canada,ocl-cal,Office of the Commissioner of Lobbying,LOB,LOB00
2274,Office of the Commissioner of Official Languages,ocol-clo,Office of the Commissioner of Official Languages,COL,COL00
3687,Office of the Commissioner of Review Tribunals,,,,
3430,Office of the Conflict of Interest and Ethics Commissioner,,,CIE,
3571,Office of the Federal Ombudsperson for Victims Of Crime,,,,
2281,Office of the Information Commissioner,oic-ci,Office of the Information Commissioner of Canada,IPC,IPC00
2275,Office of the Intelligence Commissioner,ocsec-bccst,Office of the Intelligence Commissioner of Canada,OLC,OLC00
3583,Office of the Ombudsman for the Department of National Defence and the Canadian Armed Forces,ndcfo-odnfc,Office of the Ombudsman for the Department of National Defence and the Canadian Forces,,
3433,Office of the Parliamentary Budget Officer,,,PBO,
2282,Office of the Privacy Commissioner of Canada,opc-cpvp,Office of the Privacy Commissioner of Canada,OPC,IPC00
3585,Office of the Procurement Ombudsman,,,,
2279,Office of the Public Sector Integrity Commissioner of Canada,psic-ispc,Office of the Public Sector Integrity Commissioner of Canada,INT,INT00
2278,Office of the Secretary to the Governor General,osgg-bsgg,,GGS,GGS00
3418,Office of the Superintendent of Bankruptcy Canada,,,OSB,
2280,Office of the Superintendent of Financial Institutions Canada,osfi-bsif,Office of the Superintendent of Financial Institutions Canada,SIF,SIF00
3594,Office of the Taxpayers' Ombudsperson,oto-boc,,,
3688,Office of the Umpire,,,,
3595,Office of the Veterans' Ombudsman,ovo-bov,,,
3689,Old Port of Montreal Corporation Inc.,,Old Port of Montreal,,
3481,Oshawa Port Authority,opa-apd,,,
3482,Ottawa International Airport Authority,,,,
3483,Ouranos Consortium,,,,
2298,Pacific Economic Development Canada,pacifican,Pacific Economic Development Canada (PacifiCan),PED,
3659,Pacific Pilotage Authority Canada,,Pacific Pilotage Authority Canada,,
3690,Parc Downsview Park Inc.,,Parc Downsview Park Inc.,,
2315,Parks Canada,pc,Parks Canada Agency,CAP,CAP00
3584,Parliament of Canada,,,,
3434,Parliamentary Protective Service,,,PPS,
2267,Parole Board of Canada,pbc-clcc,Parole Board of Canada,NPB,NPB00
3547,Passport Canada,pptc,,,
2283,Patented Medicine Prices Review Board Canada,pmprb-cepmb,Patented Medicine Prices Review Board,PXR,PXR00
3548,Payroll System General Ledger,,,,
3691,Pension Appeals Board,,,,
3543,Physical Resources Bureau,,,,
3484,"Pierre Elliott Trudeau Foundation, The",petf-fpet,Pierre Eliott Trudeau Foundation,,
2318,Polar Knowledge Canada,polar-polaire,Polar Knowledge Canada,CHR,CHR00
3612,Policy Horizons Canada,,,,
3485,Porcupine Caribou Management Board,,,,
3486,Port Alberni Port Authority,papa-appa,Port Alberni Port Authority,,
3645,PPP Canada Inc.,,,,
3419,Prairie Farm Rehabilitation Administration,,,REA,
2240,Prairies Economic Development Canada,prairiescan,Prairies Economic Development Canada (PrairiesCan),WCO,WCO00
3586,Prime Minister of Canada,,,,
3701,Prince George 2015 Canada Winter Games Host Society,,,,
3488,Prince George Airport Authority Inc.,,,,
3489,Prince Rupert Port Authority,prpa-appr,Prince Rupert Port Authority,,
3528,PrioNet Canada,,,,
2284,Privy Council Office,pco-bcp,Privy Council Office,PCO,PCO00
3676,Public Appointments Commission Secretariat,,,,
2285,Public Health Agency of Canada,phac-aspc,Public Health Agency of Canada,AHS,AHS00
2277,Public Prosecution Service of Canada,ppsc-sppc,Public Prosecution Service of Canada,PPD,PPD00
2235,Public Safety Canada,ps-sp,Public Safety Canada,PSP,PSP00
3663,Public Sector Pension Investment Board,,Public Sector Pension Investment Board ,,
3587,Public Servants Disclosure Protection Tribunal Canada,psdpt-tpfd,,,
2286,Public Service Commission of Canada,psc-cfp,Public Service Commission of Canada,PSC,PSC00
3692,Public Service Labour Relations and Employment Board,,,,
3693,Public Service Staffing Tribunal,,,,
3549,Public Service Superannuation,,,,
2236,Public Services and Procurement Canada,pwgsc-tpsgc,Public Services and Procurement Canada,SVC,SVC00
3490,Québec Port Authority,qpa-apq,Quebec Port Authority,,
2289,RCMP External Review Committee,erc-cee,Royal Canadian Mounted Police External Review Committee,REC,
3491,Regina Airport Authority Inc.,,,,
2287,Registrar of the Supreme Court of Canada,,,SUC,
3694,Registry of the Competition Tribunal,,,,
3695,Registry of the Public Servants Disclosure Protection Tribunal,,,,
3696,Registry of the Specific Claims Tribunal of Canada,,,,
3660,Ridley Terminals Inc.,,,,
3492,Roosevelt Campobello International Park Commission,,,,
3588,Royal Canadian Air Force,,,,
3637,Royal Canadian Mint,,RCMH-MRCF Inc. (Royal Canadian Mint),,
2288,Royal Canadian Mounted Police,rcmp-grc,Royal Canadian Mounted Police,RCM,RCM00
3589,Royal Canadian Navy,,,,
3590,Royal Military College of Canada,,,,
3493,Saguenay Port Authority,spa-aps,Saguenay Port Authority,,
3494,Saint John Airport Inc.,,,,
3495,Saint John Port Authority,stjpa-apstj,Saint John Port Authority,,
3496,Saskatoon Airport Authority,,,,
2295,Secretariat of the National Security and Intelligence Committee of Parliamentarians,snsicp-scpssnr,Secretariat of the National Security and Intelligence Committee of Parliamentarians,NSI,NSI00
3432,Senate,,,SEN,
3431,Senate Ethics Officer,,,ESN,
3497,Sept-Îles Port Authority,psi,Sept-Îles Port Authority,,
3591,Service Canada,,,,
2292,Shared Services Canada,ssc-spc,Shared Services Canada,GSS,GSS00
3613,Ship-source Oil Pollution Fund,sopf-cidp,,,
2316,Social Sciences and Humanities Research Council of Canada,sshrc-crsh,Social Sciences and Humanities Research Council,SSH,SSH00
3632,Social Security Tribunal of Canada,,,,
3498,Sport Dispute Resolution Centre of Canada,,,,
3499,St. John’s International Airport Authority,,,,
3500,St. John’s Port Authority,,St. John's Port Authority,,
3501,St. Lawrence Seaway Management Corporation,,,,
3425,"Staff of the Non-Public Funds, Canadian Forces",,,FPF,
3648,Standards Council of Canada,,Standards Council of Canada,,
2293,Statistics Canada,statcan,Statistics Canada,STC,STC00
3426,Statistics Survey Operations,,,SYT,
3614,Statute Revision Commission Canada,,,,
3592,Supreme Court of Canada,,,,
3593,Tax Court of Canada,,,,
3629,Telefilm Canada,,Telefilm Canada,,
3502,Terry Fox Humanitarian Award Inc.,,,,
2276,The Correctional Investigator Canada,oci-bec,Office of the Correctional Investigator of Canada,OCI,
3423,"The Director, The Veterans’ Land Act",,,DVL,
3700,The Halifax 2011 Canada Games Host Society,,,,
3643,The Jacques-Cartier and Champlain Bridges Inc.,,Jacques Cartier and Champlain Bridges Incorporated,,
2311,The National Battlefields Commission,nbc-ccbn,The National Battlefields Commission,NBC,NBC00
3503,Thunder Bay International Airports Authority Inc.,,,,
3504,Thunder Bay Port Authority,tbpa-aptb,Thunder Bay Port Authority,,
3630,Toronto Organizing Committee for the 2015 Pan American and Parapan American Games,,,,
3506,Toronto Port Authority,tpa-apt,Toronto Port Authority,,
3544,Translation Bureau,,,,
2238,Transport Canada,tc,Transport Canada,MOT,MOT00
3697,Transportation Appeal Tribunal of Canada,,,,
2309,Transportation Safety Board of Canada,tsb-bst,Transportation Safety Board of Canada,TSB,TSB00
2242,Treasury Board of Canada Secretariat,tbs-sct,Treasury Board of Canada Secretariat,TBD,TBD00
3507,Trois-Rivières Port Authority,ptr,Trois-Rivières Port Authority,,
3508,TV5 Québec Canada,,,,
3509,Vancouver Fraser Port Authority,vfpa-apvf,Vancouver Fraser Port Authority,,
3510,Vancouver International Airport Authority,,,,
3698,Vancouver Organizing Committee for the 2010 Olympic and Paralympic Winter Games,,,,
3532,"Vanier Institute of the Family, The",,,,
2239,Veterans Affairs Canada,vac-acc,Veterans Affairs Canada,DVA,DVA00
2294,Veterans Review and Appeal Board,vrab-tacra,Veterans Review and Appeal Board,AVC,AVC00
3662,VIA Rail Canada Inc.,,VIA Rail Canada,,
3511,Victoria Airport Authority,,,,
3596,Virtual Museum of Canada,,,,
3512,Waterfront Toronto,,,,
3513,Wildlife Habitat Canada,,,,
3514,Windsor Port Authority,wpa-apw,Windsor Port Authority,,
3644,Windsor-Detroit Bridge Authority,,Windsor-Detroit Bridge Authority,,
3515,Winnipeg Airports Authority Inc.,,,,
3442,WinSport,,,,
2241,Women and Gender Equality Canada,wage,Women and Gender Equality Canada,CSW,CSW00
3413,World Anti-Doping Agency,,,,
3703,Canada Water Agency,,,CWA